1	704.1414965588
2	735.8388539491
3	763.9553978624
4	782.8536812707
5	800.0940874171
6	805.5047529892
7	819.3941608563
8	828.5016594722
9	840.2695616262
10	846.5931019093
11	849.9520670488
12	854.9622260010
13	864.6991047800
14	866.5822986733
15	873.0081815755
16	874.3685306310
17	875.1433155931
18	876.7352374845
19	877.3799201253
20	878.6017260256
21	878.6870991383
22	879.8296285069
23	879.8841037352
24	880.6176185880
25	883.5943519990
26	883.6750439080
27	883.7488704998
28	883.7885707743
29	883.9836411415
30	884.0615970416
31	884.3151632510
32	884.6700241009
33	884.6862358133
34	884.7067570758
35	884.7890909451
36	884.8528562742
37	884.9884947634
38	885.0239364342
39	885.0282797458
40	885.1387078969
41	885.1433303304
42	885.1479070005
43	885.1960673635
44	885.2132777096
45	885.2223895294
46	885.2760611047
47	885.2932807386
48	885.2966837364
49	885.4139303332
50	885.4396643113
