1	0.0916066019
2	0.0661497104
3	0.0415640989
4	0.0524385458
5	0.0215697822
6	0.0400718549
7	0.0369782590
8	0.0433965221
9	0.0422634364
10	0.0154570944
11	0.0281938603
12	0.0162971250
13	0.0450229934
14	0.0459053990
15	0.0501339439
16	0.0179253471
17	0.0162133086
18	0.0489242527
19	0.0475708824
20	0.0482458402
21	0.0125807406
22	0.0124893365
23	0.0114072100
24	0.0191220790
25	0.0146287193
26	0.0085463803
27	0.0131443487
28	0.0092188657
29	0.0084254286
30	0.0093579009
31	0.0076349455
32	0.0121130234
33	0.0117851906
34	0.0125494628
35	0.0127509416
36	0.0131936164
37	0.0111410622
38	0.0103393162
39	0.0106457035
40	0.0121836837
