1	82.1736515204
2	82.8779334792
3	83.9300506724
4	84.5979482345
5	85.5699017703
6	85.6693797219
7	85.9410912917
8	85.9894175131
9	86.1812880464
10	86.1994377598
11	86.2048222574
12	86.2104328755
13	86.2266809241
14	86.2765396634
15	86.4320976462
16	86.4351369011
17	86.4388837109
18	86.6022850991
19	86.6040744847
20	86.6043925976
21	86.6102855312
22	86.6135676148
23	86.6142158241
24	86.6179320414
25	86.6181705824
26	86.6227864886
27	86.6241232807
28	86.6261416492
29	86.6295541990
30	86.6304336893
31	86.6315613619
32	86.6321649989
33	86.6327861973
34	86.6743217319
35	86.6744617342
36	86.6747830688
37	86.6753223327
38	86.6753578177
39	86.6758687280
40	86.6771281732
