1	496.8099038824
2	519.4637518459
3	558.1758312410
4	606.0407125287
5	612.1751892658
6	631.6866891138
7	649.1683055576
8	668.5058267898
9	674.8593875687
10	680.4060560416
11	683.3391693899
12	699.1989054950
13	699.8099047358
14	702.0112579810
15	706.3352387781
16	706.9330081244
17	711.1812893976
18	712.8923870539
19	715.1314528240
20	716.0316558444
21	716.7562487197
22	718.4711040348
23	719.0699679038
24	719.5160437362
25	719.6229780186
26	720.0837390280
27	720.4396687693
28	720.6183919355
29	720.7203111667
30	720.7626119490
31	721.1156073310
32	721.2849130818
33	721.3481929875
34	721.4780464755
35	721.4939766722
36	721.5132547539
37	721.5374245896
38	721.6166204263
39	721.6200081049
40	721.6455508990
41	721.6837196487
42	721.7825341219
43	721.7950242788
44	721.8550692215
45	721.8632103222
46	721.9084076013
47	721.9172419693
48	721.9215855270
49	721.9293850048
50	721.9358584992
